iter,solver,kind,import_s,viewer_s,init_s,step_s,render_s,total_s
1,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,164.41
1,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.62
1,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,61.48
1,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,4.90
1,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,138.96
1,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.27
2,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,141.80
2,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.55
2,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,64.66
2,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,4.94
2,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,130.26
2,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.56
3,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,137.09
3,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.15
3,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,127.59
3,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,8.00
3,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,62.54
3,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,4.91
