iter,solver,kind,import_s,viewer_s,init_s,step_s,render_s,total_s
1,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,122.30
1,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.25
1,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,162.26
1,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.47
1,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,77.60
1,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,5.08
2,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,161.47
2,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.50
2,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,78.38
2,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,5.10
2,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,89.20
2,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,7.69
3,kamino_robot_dr_legs,cold,delta=,delta=,delta=,delta=,delta=,87.96
3,kamino_robot_dr_legs,warm,delta=,delta=,delta=,delta=,delta=,18.64
3,cloth_hanging,cold,delta=,delta=,delta=,delta=,delta=,112.27
3,cloth_hanging,warm,delta=,delta=,delta=,delta=,delta=,5.39
3,robot_anymal_d,cold,delta=,delta=,delta=,delta=,delta=,163.38
3,robot_anymal_d,warm,delta=,delta=,delta=,delta=,delta=,7.48
